eco,name,pgn,move,color,fen,master,lichess,white,draws,black
D06,Queen's Gambit,1. d4 d5 2. c4,3,white,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,csT4wq1I,,55352584,5538619,46641469
A40,Englund Gambit,1. d4 e5,2,black,rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,tX6PQHif,,16592835,1328332,15686327
C30,King's Gambit,1. e4 e5 2. f4,3,white,rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,aZ6oVKX6,,16557622,1212079,15428814
B21,Sicilian Defense: Smith-Morra Gambit,1. e4 c5 2. d4,3,white,rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,bQDZlxgx,3Vjutrlc,15563792,1302711,14594493
B21,Sicilian Defense: Smith-Morra Gambit,1. e4 c5 2. d4 cxd4 3. c3,5,white,rnbqkbnr/pp1ppppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,bQDZlxgx,l6i8tX0p,7725846,679659,7076805
A06,Zukertort Opening: Tennison Gambit,1. e4 d5 2. Nf3,3,white,rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,CShYxrvO,,5884345,482711,5899293
C34,King's Gambit Accepted: King's Knight's Gambit,1. e4 e5 2. f4 exf4 3. Nf3,5,white,rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,ZsJXLdvq,,5816971,417780,5408062
D00,Blackmar-Diemer Gambit,1. d4 d5 2. e4,3,white,rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,TGEbeK5Q,,5136563,376098,4480751
C44,Scotch Game: Scotch Gambit,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4,7,white,r1bqkbnr/pppp1ppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,jmCFOrHC,M9amzNkQ,4800333,412841,3925524
C21,Danish Gambit,1. e4 e5 2. d4 exd4 3. c3,5,white,rnbqkbnr/pppp1ppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,,,4176816,304873,3359774
